bedcount,bedcount_total,Daily,CareProviderLocation,0,223
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_community_care,Daily,LA-National-Regional,0,22
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_dementia_nursing,Daily,LA-National-Regional,0,318
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_dementia_residential,Daily,LA-National-Regional,0,503
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_general_nursing,Daily,LA-National-Regional,0,350
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_general_residential,Daily,LA-National-Regional,0,629
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_learning_disability_nursing,Daily,LA-National-Regional,0,19
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_learning_disability_residential,Daily,LA-National-Regional,0,175
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_mental_health_nursing,Daily,LA-National-Regional,0,90
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_mental_health_residential,Daily,LA-National-Regional,0,123
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_total,Daily,LA-National-Regional,0,1590
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_transitional,Daily,LA-National-Regional,0,43
bedcount_per_hundred_thousand_adults,bedcount_per_hundred_thousand_adults_ypd_young_physically_disabled,Daily,LA-National-Regional,0,68
dementia_estimated_diagnosis_rate_65over,dementia_estimated_diagnosis_rate_65over,Financial yearly,LA-National-Regional,32.6,94.2
dementia_prevalence_65over,dementia_prevalence_65over,Yearly,LA-National-Regional,2.9,5.3
dementia_qof_prevalence,dementia_qof_prevalence,Financial yearly,LA-National-Regional,0.2,1.1
dementia_register_65over_per100k,dementia_register_65over_per100k,Monthly,LA-National-Regional,2080,6648
expenditure_duration_psr,edpsr_lt_learning_disability_support_18_64,Yearly,LA-National-Regional,138,245282
expenditure_duration_psr,edpsr_lt_learning_disability_support_65_and_over,Yearly,LA-National-Regional,0,33543
expenditure_duration_psr,edpsr_lt_learning_disability_support_all_ages,Yearly,LA-National-Regional,138,271320
